Linux 6.2.0-36-generic (9dff5f8bb634) 	05/22/24 	_x86_64_	(12 CPU)

15:59:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:59:31        all      9.85      0.00      2.92      0.00      0.00     87.23
15:59:32        all     13.26      0.00      2.01      0.00      0.00     84.73
15:59:33        all     10.90      0.00      2.51      0.00      0.00     86.59
15:59:34        all     28.18      0.00      7.36      0.00      0.00     64.46
15:59:35        all     12.33      0.00      2.52      0.00      0.00     85.15
15:59:36        all     23.75      0.00      3.41      0.17      0.00     72.67
15:59:37        all     12.65      0.00      2.35      0.00      0.00     85.01
15:59:38        all     19.07      0.00      1.82      0.00      0.00     79.10
15:59:39        all     17.39      0.00      1.84      0.00      0.00     80.77
15:59:40        all     17.14      0.00      1.51      0.00      0.00     81.35
15:59:41        all     22.68      0.00      1.76      0.00      0.00     75.56
15:59:42        all     26.59      0.00      3.15      0.08      0.00     70.17
15:59:43        all     18.15      0.00      2.16      0.00      0.00     79.68
15:59:44        all     17.49      0.00      1.92      0.00      0.00     80.60
15:59:45        all     17.11      0.00      1.59      0.00      0.00     81.30
15:59:46        all     23.56      0.00      1.97      0.08      0.00     74.38
