 Freq MHz      IRQ RC6     Power W     IMC MiB/s           RCS/0           BCS/0           VCS/0          VECS/0 
 req  act       /s   %   gpu   pkg     rd     wr       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   0    0        0   0  0.00  0.00  11342   6728   99.50   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 155  155      459  68  0.36 14.88   3437   1500   23.81   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 146  146      435  71  0.32 16.42   4338   1562   21.38   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 161  161      492  68  0.37 16.80   4229   1670   23.79   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 244  244      672  49  0.61 26.45   7126   3059   42.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 224  224      690  55  0.54 16.89   5290   2184   36.05   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 221  220      686  52  0.57 21.52   7103   2863   37.97   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 215  215      613  61  0.48 17.47   4793   2079   31.87   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 140  140      465  69  0.39 24.14   3977   1545   23.57   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 104  104      346  77  0.29 23.71   3310   1247   17.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  70   70      277  82  0.24 23.28   2895   1064   13.97   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 147  146      465  69  0.40 26.22   4624   1742   24.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 265  263      577  54  0.71 28.26   5655   2555   36.71   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 174  174      447  64  0.48 24.01   4157   1785   29.93   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  97   97      326  78  0.29 23.51   3262   1216   16.80   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  63   63      260  82  0.23 23.72   2864   1065   14.01   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 119  119      412  74  0.34 25.34   4251   1508   20.69   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
